Train data size: 614
Test data size: 154
Feature columns: ['SkinThickness', 'BMI', 'Insulin', 'Glucose', 'BloodPressure', 'DiabetesPedigreeFunction', 'Pregnancies', 'Age']
[103]   validation_0-auc:0.87925        validation_1-auc:0.80093
[104]   validation_0-auc:0.87935        validation_1-auc:0.80074
[105]   validation_0-auc:0.87985        validation_1-auc:0.80074
[106]   validation_0-auc:0.87987        validation_1-auc:0.80093
[107]   validation_0-auc:0.87963        validation_1-auc:0.80074
[108]   validation_0-auc:0.87956        validation_1-auc:0.80019
[109]   validation_0-auc:0.87991        validation_1-auc:0.80037
[110]   validation_0-auc:0.87996        validation_1-auc:0.80056
[111]   validation_0-auc:0.88025        validation_1-auc:0.80056
[112]   validation_0-auc:0.88011        validation_1-auc:0.79944
[113]   validation_0-auc:0.88002        validation_1-auc:0.79889
[114]   validation_0-auc:0.87982        validation_1-auc:0.79907
[115]   validation_0-auc:0.87992        validation_1-auc:0.79944
[116]   validation_0-auc:0.87979        validation_1-auc:0.80000
[117]   validation_0-auc:0.87985        validation_1-auc:0.79963
[118]   validation_0-auc:0.88009        validation_1-auc:0.80056
[119]   validation_0-auc:0.88015        validation_1-auc:0.80019
[120]   validation_0-auc:0.88035        validation_1-auc:0.80019
[121]   validation_0-auc:0.88030        validation_1-auc:0.80056
[122]   validation_0-auc:0.88035        validation_1-auc:0.80074
[123]   validation_0-auc:0.88030        validation_1-auc:0.80056
[124]   validation_0-auc:0.88025        validation_1-auc:0.80130
[125]   validation_0-auc:0.88014        validation_1-auc:0.80148
[126]   validation_0-auc:0.88005        validation_1-auc:0.80130
[127]   validation_0-auc:0.88019        validation_1-auc:0.80130
[128]   validation_0-auc:0.88048        validation_1-auc:0.80130
[129]   validation_0-auc:0.88058        validation_1-auc:0.80111
[130]   validation_0-auc:0.88072        validation_1-auc:0.80222
[131]   validation_0-auc:0.88084        validation_1-auc:0.80185
[132]   validation_0-auc:0.88107        validation_1-auc:0.80130
[133]   validation_0-auc:0.88095        validation_1-auc:0.80074
[134]   validation_0-auc:0.88097        validation_1-auc:0.80074
[135]   validation_0-auc:0.88089        validation_1-auc:0.80074
[136]   validation_0-auc:0.88091        validation_1-auc:0.80111
[137]   validation_0-auc:0.88103        validation_1-auc:0.80074
[138]   validation_0-auc:0.88097        validation_1-auc:0.80130
[139]   validation_0-auc:0.88092        validation_1-auc:0.80185
[140]   validation_0-auc:0.88079        validation_1-auc:0.80222
[141]   validation_0-auc:0.88110        validation_1-auc:0.80241
[142]   validation_0-auc:0.88098        validation_1-auc:0.80259
[143]   validation_0-auc:0.88099        validation_1-auc:0.80315
